101;GIRUÁ;RIO GRANDE DO SUL;-28.0297443728968;-54.3508400776839;GIRUA;RIO GRANDE DO SUL
102;SANTA ROSA;RIO GRANDE DO SUL;-27.866749798923;-54.4782240987609;SANTA ROSA;RIO GRANDE DO SUL
103;TUPARENDI;RIO GRANDE DO SUL;-27.7540889272987;-54.4785080753273;TUPARENDI;RIO GRANDE DO SUL
104;PORTO MAUÁ;RIO GRANDE DO SUL;-27.5786353600571;-54.671951891498;PORTO MAUA;RIO GRANDE DO SUL
105;NOVO MACHADO;RIO GRANDE DO SUL;-27.5784006505782;-54.5033844145301;NOVO MACHADO;RIO GRANDE DO SUL
106;TUCUNDUVA;RIO GRANDE DO SUL;-27.6500599333578;-54.4331286688342;TUCUNDUVA;RIO GRANDE DO SUL
107;DOUTOR MAURÍCIO CARDOSO;RIO GRANDE DO SUL;-27.5092126137125;-54.3582679905268;DOUTOR MAURICIO CARDOSO;RIO GRANDE DO SUL
108;HORIZONTINA;RIO GRANDE DO SUL;-27.6300969136806;-54.3087915108958;HORIZONTINA;RIO GRANDE DO SUL
109;JÓIA;RIO GRANDE DO SUL;-28.645623534628;-54.1159648970211;JOIA;RIO GRANDE DO SUL
110;EUGÊNIO DE CASTRO;RIO GRANDE DO SUL;-28.5250597626107;-54.1481126184862;EUGENIO DE CASTRO;RIO GRANDE DO SUL
111;AUGUSTO PESTANA;RIO GRANDE DO SUL;-28.5133519891142;-53.9894700807226;AUGUSTO PESTANA;RIO GRANDE DO SUL
112;CORONEL BARROS;RIO GRANDE DO SUL;-28.3845408586763;-54.0736624302888;CORONEL BARROS;RIO GRANDE DO SUL
113;BOA VISTA DO CADEADO;RIO GRANDE DO SUL;-28.5774344754805;-53.8137346351149;BOA VISTA DO CADEADO;RIO GRANDE DO SUL
114;IJUÍ;RIO GRANDE DO SUL;-28.3885365409849;-53.918066835708;IJUI;RIO GRANDE DO SUL
115;BOZANO;RIO GRANDE DO SUL;-28.3662899401941;-53.7724021387641;BOZANO;RIO GRANDE DO SUL
116;PEJUÇARA;RIO GRANDE DO SUL;-28.4215860641583;-53.6565423317737;PEJUCARA;RIO GRANDE DO SUL
117;CATUÍPE;RIO GRANDE DO SUL;-28.2542344724617;-54.0123868476744;CATUIPE;RIO GRANDE DO SUL
118;INDEPENDÊNCIA;RIO GRANDE DO SUL;-27.8473315580669;-54.1881083345896;INDEPENDENCIA;RIO GRANDE DO SUL
119;TRÊS DE MAIO;RIO GRANDE DO SUL;-27.7796602188975;-54.2353022075467;TRES DE MAIO;RIO GRANDE DO SUL
120;SÃO JOSÉ DO INHACORÁ;RIO GRANDE DO SUL;-27.722584567332;-54.133550202739;SAO JOSE DO INHACORA;RIO GRANDE DO SUL
121;BOA VISTA DO BURICÁ;RIO GRANDE DO SUL;-27.6715669967826;-54.1094812552698;BOA VISTA DO BURICA;RIO GRANDE DO SUL
122;INHACORÁ;RIO GRANDE DO SUL;-27.8804544583429;-54.012545591408;INHACORA;RIO GRANDE DO SUL
123;ALEGRIA;RIO GRANDE DO SUL;-27.8372999563703;-54.0573664131385;ALEGRIA;RIO GRANDE DO SUL
124;CHIAPETTA;RIO GRANDE DO SUL;-27.9173647540078;-53.9457497023822;CHIAPETTA;RIO GRANDE DO SUL
125;SÃO VALÉRIO DO SUL;RIO GRANDE DO SUL;-27.7877181698841;-53.9355261513435;SAO VALERIO DO SUL;RIO GRANDE DO SUL
126;SÃO MARTINHO;RIO GRANDE DO SUL;-27.7089288021284;-53.9669227230418;SAO MARTINHO;RIO GRANDE DO SUL
127;AJURICABA;RIO GRANDE DO SUL;-28.2377290066893;-53.7728188899873;AJURICABA;RIO GRANDE DO SUL
128;NOVA RAMADA;RIO GRANDE DO SUL;-28.0826448724052;-53.7069373378916;NOVA RAMADA;RIO GRANDE DO SUL
129;SANTO AUGUSTO;RIO GRANDE DO SUL;-27.8534907764033;-53.7788495982932;SANTO AUGUSTO;RIO GRANDE DO SUL
130;CAMPO NOVO;RIO GRANDE DO SUL;-27.6744926102172;-53.8028138686737;CAMPO NOVO;RIO GRANDE DO SUL
131;CORONEL BICACO;RIO GRANDE DO SUL;-27.7178730196391;-53.7091281065014;CORONEL BICACO;RIO GRANDE DO SUL
132;REDENTORA;RIO GRANDE DO SUL;-27.6615398826699;-53.6419336939953;REDENTORA;RIO GRANDE DO SUL
133;CRUZ ALTA;RIO GRANDE DO SUL;-28.6424466084891;-53.6052407621196;CRUZ ALTA;RIO GRANDE DO SUL
134;BOA VISTA DO INCRA;RIO GRANDE DO SUL;-28.8184880340187;-53.3887049606029;BOA VISTA DO INCRA;RIO GRANDE DO SUL
135;PANAMBI;RIO GRANDE DO SUL;-28.2927305369249;-53.5002651674452;PANAMBI;RIO GRANDE DO SUL
136;FORTALEZA DOS VALOS;RIO GRANDE DO SUL;-28.7878829709941;-53.2355232639118;FORTALEZA DOS VALOS;RIO GRANDE DO SUL
137;QUINZE DE NOVEMBRO;RIO GRANDE DO SUL;-28.7423613499233;-53.0967220567818;QUINZE DE NOVEMBRO;RIO GRANDE DO SUL
138;ALTO ALEGRE;RIO GRANDE DO SUL;-28.7747455370691;-52.9907552806891;ALTO ALEGRE;RIO GRANDE DO SUL
139;IBIRUBÁ;RIO GRANDE DO SUL;-28.627607782438;-53.0883540195233;IBIRUBA;RIO GRANDE DO SUL
140;SANTA BÁRBARA DO SUL;RIO GRANDE DO SUL;-28.3651668167465;-53.2505267075504;SANTA BARBARA DO SUL;RIO GRANDE DO SUL
141;COLORADO;RIO GRANDE DO SUL;-28.5229477598944;-52.9931763194633;COLORADO;RIO GRANDE DO SUL
142;SALDANHA MARINHO;RIO GRANDE DO SUL;-28.4032861706865;-53.0941072015607;SALDANHA MARINHO;RIO GRANDE DO SUL
143;CONDOR;RIO GRANDE DO SUL;-28.2052957752937;-53.4889433308529;CONDOR;RIO GRANDE DO SUL
144;DOIS IRMÃOS DAS MISSÕES;RIO GRANDE DO SUL;-27.6575367314489;-53.5308646235229;DOIS IRMAOS DAS MISSOES;RIO GRANDE DO SUL
145;PALMEIRA DAS MISSÕES;RIO GRANDE DO SUL;-27.9006208754319;-53.3149539105514;PALMEIRA DAS MISSOES;RIO GRANDE DO SUL
146;BOA VISTA DAS MISSÕES;RIO GRANDE DO SUL;-27.6661110350384;-53.312756393758;BOA VISTA DAS MISSOES;RIO GRANDE DO SUL
147;CHAPADA;RIO GRANDE DO SUL;-28.0584504612393;-53.0672769044206;CHAPADA;RIO GRANDE DO SUL
148;NOVA BOA VISTA;RIO GRANDE DO SUL;-27.9879676591236;-52.9814768438008;NOVA BOA VISTA;RIO GRANDE DO SUL
149;SÃO PEDRO DAS MISSÕES;RIO GRANDE DO SUL;-27.771308460749;-53.2473689788526;SAO PEDRO DAS MISSOES;RIO GRANDE DO SUL
150;LAJEADO DO BUGRE;RIO GRANDE DO SUL;-27.6907694083803;-53.1813871337597;LAJEADO DO BUGRE;RIO GRANDE DO SUL
151;SAGRADA FAMÍLIA;RIO GRANDE DO SUL;-27.7067309905016;-53.1356517180311;SAGRADA FAMILIA;RIO GRANDE DO SUL
152;NOVO BARREIRO;RIO GRANDE DO SUL;-27.9067884670258;-53.1134988510144;NOVO BARREIRO;RIO GRANDE DO SUL
153;BARRA FUNDA;RIO GRANDE DO SUL;-27.9238258451753;-53.0362966696036;BARRA FUNDA;RIO GRANDE DO SUL
154;SÃO JOSÉ DAS MISSÕES;RIO GRANDE DO SUL;-27.7781833180516;-53.1187752690111;SAO JOSE DAS MISSOES;RIO GRANDE DO SUL
155;NOVO XINGU;RIO GRANDE DO SUL;-27.7481146921356;-53.0641092994744;NOVO XINGU;RIO GRANDE DO SUL
156;CONSTANTINA;RIO GRANDE DO SUL;-27.730411086445;-52.9877388321137;CONSTANTINA;RIO GRANDE DO SUL
157;NOVA CANDELÁRIA;RIO GRANDE DO SUL;-27.6120981609471;-54.1041142397608;NOVA CANDELARIA;RIO GRANDE DO SUL
158;CRISSIUMAL;RIO GRANDE DO SUL;-27.4980122693927;-54.1000349061653;CRISSIUMAL;RIO GRANDE DO SUL
159;SEDE NOVA;RIO GRANDE DO SUL;-27.6311628724795;-53.9558847238338;SEDE NOVA;RIO GRANDE DO SUL
160;HUMAITÁ;RIO GRANDE DO SUL;-27.5614898161207;-53.9765055737001;HUMAITA;RIO GRANDE DO SUL
161;TIRADENTES DO SUL;RIO GRANDE DO SUL;-27.396898884195;-54.0853922050406;TIRADENTES DO SUL;RIO GRANDE DO SUL
162;TRÊS PASSOS;RIO GRANDE DO SUL;-27.4561598838426;-53.9296989580111;TRES PASSOS;RIO GRANDE DO SUL
163;ESPERANÇA DO SUL;RIO GRANDE DO SUL;-27.3599436088412;-53.9927678151195;ESPERANCA DO SUL;RIO GRANDE DO SUL
164;BOM PROGRESSO;RIO GRANDE DO SUL;-27.5467742041554;-53.8667908856402;BOM PROGRESSO;RIO GRANDE DO SUL
165;BRAGA;RIO GRANDE DO SUL;-27.6191925075347;-53.7443293820752;BRAGA;RIO GRANDE DO SUL
166;TENENTE PORTELA;RIO GRANDE DO SUL;-27.3721669191145;-53.7572696148981;TENENTE PORTELA;RIO GRANDE DO SUL
167;MIRAGUAÍ;RIO GRANDE DO SUL;-27.4960764230659;-53.6859940447681;MIRAGUAI;RIO GRANDE DO SUL
168;DERRUBADAS;RIO GRANDE DO SUL;-27.2653909362973;-53.8651194603325;DERRUBADAS;RIO GRANDE DO SUL
169;VISTA GAÚCHA;RIO GRANDE DO SUL;-27.2899783753414;-53.7013197816331;VISTA GAUCHA;RIO GRANDE DO SUL
170;PINHEIRINHO DO VALE;RIO GRANDE DO SUL;-27.2097627892597;-53.6195609569296;PINHEIRINHO DO VALE;RIO GRANDE DO SUL
171;BARRA DO GUARITA;RIO GRANDE DO SUL;-27.1880699614942;-53.7144126933058;BARRA DO GUARITA;RIO GRANDE DO SUL
172;ITAPIRANGA;SANTA CATARINA;-27.1753750894904;-53.7148020649025;ITAPIRANGA;SANTA CATARINA
173;TUNÁPOLIS;SANTA CATARINA;-26.9722235914893;-53.641459736047;TUNAPOLIS;SANTA CATARINA
174;SANTA HELENA;SANTA CATARINA;-26.9398439236403;-53.6199878739379;SANTA HELENA;SANTA CATARINA
175;BANDEIRANTE;SANTA CATARINA;-26.7689379013244;-53.64104958659;BANDEIRANTE;SANTA CATARINA
176;PARAÍSO;SANTA CATARINA;-26.6152629707929;-53.6753141316767;PARAISO;SANTA CATARINA
177;ERVAL SECO;RIO GRANDE DO SUL;-27.5494171265095;-53.5095730836612;ERVAL SECO;RIO GRANDE DO SUL
178;PALMITINHO;RIO GRANDE DO SUL;-27.3560199139378;-53.5555460129883;PALMITINHO;RIO GRANDE DO SUL
179;VISTA ALEGRE;RIO GRANDE DO SUL;-27.3700841700745;-53.4924104661248;VISTA ALEGRE;RIO GRANDE DO SUL
180;TAQUARUÇU DO SUL;RIO GRANDE DO SUL;-27.3980360509079;-53.4669519596144;TAQUARUCU DO SUL;RIO GRANDE DO SUL
181;SEBERI;RIO GRANDE DO SUL;-27.4804138165262;-53.4054673035279;SEBERI;RIO GRANDE DO SUL
182;FREDERICO WESTPHALEN;RIO GRANDE DO SUL;-27.358882412381;-53.4007767388514;FREDERICO WESTPHALEN;RIO GRANDE DO SUL
183;SÃO JOÃO DO OESTE;SANTA CATARINA;-27.0974826254415;-53.5959666797443;SAO JOAO DO OESTE;SANTA CATARINA
184;CAIÇARA;RIO GRANDE DO SUL;-27.280940664627;-53.431895485104;CAICARA;RIO GRANDE DO SUL
185;VICENTE DUTRA;RIO GRANDE DO SUL;-27.1684450441447;-53.4021290554094;VICENTE DUTRA;RIO GRANDE DO SUL
186;MONDAÍ;SANTA CATARINA;-27.1036116941033;-53.3986840279187;MONDAI;SANTA CATARINA
187;RIQUEZA;SANTA CATARINA;-27.0675941645796;-53.3252862115099;RIQUEZA;SANTA CATARINA
188;JABOTICABA;RIO GRANDE DO SUL;-27.631222386294;-53.2843894020471;JABOTICABA;RIO GRANDE DO SUL
189;PINHAL;RIO GRANDE DO SUL;-27.5116742434576;-53.2147061788915;PINHAL;RIO GRANDE DO SUL
190;CERRO GRANDE;RIO GRANDE DO SUL;-27.6079801347369;-53.1659130764764;CERRO GRANDE;RIO GRANDE DO SUL
191;NOVO TIRADENTES;RIO GRANDE DO SUL;-27.5635584344757;-53.1857025890656;NOVO TIRADENTES;RIO GRANDE DO SUL
192;CRISTAL DO SUL;RIO GRANDE DO SUL;-27.4536295671694;-53.2491844952574;CRISTAL DO SUL;RIO GRANDE DO SUL
193;RODEIO BONITO;RIO GRANDE DO SUL;-27.4704034354621;-53.1685306043438;RODEIO BONITO;RIO GRANDE DO SUL
194;AMETISTA DO SUL;RIO GRANDE DO SUL;-27.3564254737849;-53.1921772619969;AMETISTA DO SUL;RIO GRANDE DO SUL
195;LIBERATO SALZANO;RIO GRANDE DO SUL;-27.5964701638556;-53.0748607372178;LIBERATO SALZANO;RIO GRANDE DO SUL
196;IRAÍ;RIO GRANDE DO SUL;-27.1922819750184;-53.2642960185149;IRAI;RIO GRANDE DO SUL
197;CAIBI;SANTA CATARINA;-27.073053932558;-53.2505271955837;CAIBI;SANTA CATARINA
198;PALMITOS;SANTA CATARINA;-27.0702505491681;-53.1622672928949;PALMITOS;SANTA CATARINA
199;PLANALTO;RIO GRANDE DO SUL;-27.3314638754662;-53.058880813139;PLANALTO;RIO GRANDE DO SUL
200;ALPESTRE;RIO GRANDE DO SUL;-27.2487687566901;-53.0373660485512;ALPESTRE;RIO GRANDE DO SUL
201;SÃO CARLOS;SANTA CATARINA;-27.0786350778961;-53.017394273321;SAO CARLOS;SANTA CATARINA
202;ÁGUAS DE CHAPECÓ;SANTA CATARINA;-27.0762129124757;-52.9872510056855;AGUAS DE CHAPECO;SANTA CATARINA
